"Gene ID",Notes
DDB_G0269110,"The Curated Model is based on the Sequencing Center Gene Prediction, which predicts 3 exons, whereas GenBank record AB015186 has 2 exons.  There is a 31 nt insert in the mRNA in GenBank record AB015186 compared to the Sequencing Center Gene Prediction.  The sequences from the Sequencing Center and GenBank record U81500 are otherwise identical."
DDB_G0269112,"The sequences from the Sequencing Center and GenBank record M33862 are identical."
DDB_G0269116,"The sequences from the Sequencing Center and GenBank record AF140044 are identical."
DDB_G0269118,"The sequences from the Sequencing Center and GenBank record X55671 are identical."
DDB_G0269120,"The sequences from the Sequencing Center and GenBank record AF053068 are identical."
DDB_G0269122,"The sequences from the Sequencing Center and GenBank record U68249 are identical."
DDB_G0269124,"The sequences from the Sequencing Center and GenBank record AF163835 are identical."
DDB_G0269126,"The sequences from the Sequencing Center and GenBank record AF019107 are identical."
DDB_G0269128,"The Curated Model is based on the Sequencing Center Gene Prediction, which has 12 additional nt in Exon 3.  The sequences from the Sequencing Center and GenBank record AF081585 are otherwise identical."
DDB_G0269130,"The Curated Model is based on GenBank record U81500, which predicts 2 exons, whereas the Sequencing Center Gene Prediction has only 1 exon.  There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record U81500, however, the sequence from the Sequencing Center has been verified."
DDB_G0269132,"There is a difference of 7 amino acid substitutions and 7 amino acid insertions between the sequence from the Sequencing Center and the sequence in GenBank record P11976."
DDB_G0269134,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record X55973, however, the sequence from the Sequencing Center has been verified. "
DDB_G0269136,"There are discrepancies between the sequence from the Sequencing Center and the sequence in GenBank record X55972, however, the sequence from the Sequencing Center has been verified.  "
DDB_G0269138,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record X95568, however, EST sequences confirm the sequence from the Sequencing Center."
DDB_G0269140,"The sequences from the Sequencing Center and GenBank record D88027 are identical."
DDB_G0269142,"The sequences from the Sequencing Center and GenBank record L19349 are identical."
DDB_G0269144,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record X75263, however, the sequence from the Sequencing Center has been verified."
DDB_G0269146,"Note regarding this sequence: Sequencing Center sequence has 1 nt difference compared to GenBank record U78759; the encoded proteins are identical."
DDB_G0269148,"The sequences from the Sequencing Center and GenBank record U27538 are identical."
DDB_G0269150,"There is a 5 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF088979, resulting in 4 amino acid substitutions at positions 358, 1358, 1362, and 2553."
DDB_G0269152,"The sequences from the Sequencing Center and GenBank record U87912 are identical."
DDB_G0269154,"The sequences from the Sequencing Center and GenBank record U72236 are identical."
DDB_G0269156,"The sequences from the Sequencing Center and GenBank record L08646 are identical."
DDB_G0269158,"The sequences from the Sequencing Center and GenBank records AF202725 and AF202726 are identical."
DDB_G0269160,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record M69022, however, the sequence from the Sequencing Center has been verified."
DDB_G0269162,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record U81000, however, the sequence from the Sequencing Center has been verified."
DDB_G0269164,"The sequences from the Sequencing Center and GenBank record AF020408 are identical."
DDB_G0269166,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF131221, resulting in 1 amino acid substitution at position 30."
DDB_G0269168,"There is a 2 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record U61985 resulting in 2 amino acid substitutions at positions 195 and 196."
DDB_G0269170,"The sequences from the Sequencing Center and GenBank records M19416 and X51947 are identical."
DDB_G0269172,"There are discrepancies between the sequence from the Sequencing Center and the sequence in GenBank records AF104350 and AF310894."
DDB_G0269174,"The sequences from the Sequencing Center and GenBank record AB015237 are identical."
DDB_G0269176,"The Curated Model is based on GenBank record AF037042, which predicts 2 exons, wheras the Sequencing Center Gene Prediction has only 1 exon.","There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF037042; the encoded proteins are identical."
DDB_G0269178,"The sequences from the Sequencing Center and GenBank record AF310893 are identical."
DDB_G0269180,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record U66525, however, the sequence from the Sequencing Center has been verified."
DDB_G0269182,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record U82515, however, the sequence from the Sequencing Center has been verified."
DDB_G0269184,"Note regarding this sequence: Sequencing Center sequence has 1 nt difference compared to GenBank record U67917; the encoded proteins are identical."
DDB_G0269186,"The sequences from the Sequencing Center and GenBank record AF157836 are identical."
DDB_G0269188,"The sequences from the Sequencing Center and GenBank record U43887 are identical."
DDB_G0269190,"There is a 3 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AB008158, resulting in 3 amino acid substitutions at positions 247, 254 and 285."
DDB_G0269192,"The last 9 nt of GenBank record U68247 (partial mRNA sequence) do not match the sequence from the Sequencing Center.  "
DDB_G0269194,"The sequences from the Sequencing Center and GenBank record AB009080 are identical."
DDB_G0269196,"The sequences from the Sequencing Center and GenBank record AF030823 are identical."
DDB_G0269198,"The coding sequence in GenBank record AF020407 is 4284 nt shorter on the 3' end than the coding sequence from the Sequencing Center. There is also a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF020407, resulting in 1 amino acid substitution at position 452."
DDB_G0269200,"The sequences from the Sequencing Center and GenBank record AF525418 are identical."
DDB_G0269202,"The sequences from the Sequencing Center and GenBank records AB079253 and AB079606 are identical."
DDB_G0269204,"There is a 5 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF362375 resulting in 4 amino acid substitutions at positions 665, 803, 813, and 817."
DDB_G0269206,"The sequences from the Sequencing Center and GenBank record AF482398 are identical.","abcG13 published in PMID 12456012 resulted from a misassembly of early sequencing data and is a composite of abcG19 and abcG21."
DDB_G0269208,"abcG13 published in PMID 12456012 resulted from a misassembly of early sequencing data and is a composite of abcG19 and abcG21.","The sequences from the Sequencing Center and GenBank record AF482396 are identical."
DDB_G0269210,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF482392, resulting in a 1 amino acid substitution at position 1267."
DDB_G0269212,"There are 3 nt insertions in the sequence from the Sequencing Center compared with the sequence in GenBank record AF482390, resulting in a 1 amino acid insertion and a frame shift between amino acids 1156 and 1164. However, the Sequencing Center sequence is correct according to ESTs."
DDB_G0269214,"There are discrepancies between the sequence from the Sequencing Center and the sequence in GenBank record AF482380, however, the sequence from the Sequencing Center has been verified."
DDB_G0269216,"The sequences from the Sequencing Center and GenBank record AF215865 are identical."
DDB_G0269218,"The sequences from the Sequencing Center and GenBank record AF310893_1 are identical."
DDB_G0269220,"The sequences from the Sequencing Center and GenBank record AF310893_3 are identical."
DDB_G0269222,"The sequences from the Sequencing Center and GenBank record AY160091 are identical."
DDB_G0269224,"The sequences from the Sequencing Center and GenBank record AF304441 are identical."
DDB_G0269226,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF159949; the encoded proteins are identical."
DDB_G0269228,"There is a 2 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record U80927 resulting in 1 amino acid substitution at position 158."
DDB_G0269230,"The sequences from the Sequencing Center and GenBank record U73685 are identical.","Two genes encode the Skp1 protein, named fpaA and <a href=""/db/cgi-bin//gene_page.pl?gene_name=fpaB"">fpaB</a>, differing by 1 intron, 33 nt, and 1 aa."
DDB_G0269232,"The coding sequence in GenBank record U66911 is 841 nt shorter on the 3' end than the coding sequence from the Sequencing Center. The sequences from the Sequencing Center and GenBank record U66911 are otherwise identical."
DDB_G0269234,"This gene is called <i>actV</i> in PMID 8643615 (Loomis, pers. comm.) PG 5-23-2003","The sequences from the Sequencing Center and GenBank record X03281 are identical."
DDB_G0269236,"There are 3 nt differences between the sequence from the Sequencing Center and the sequence in GenBank record U02928; the predicted proteins are identical."
DDB_G0269238,"Note regarding this sequence: Sequencing Center sequence has 1 nt difference compared to GenBank record U02925; the encoded proteins are identical."
DDB_G0269240,"Sequences from the Sequencing Center and GenBank record AF310894 are identical."
DDB_G0269242,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record AY196478, however, the sequence from the Sequencing Center has been verified.","There is one amino acid difference between the sequence from the Sequencing Center and the sequence in GenBank record HC938916.","There is one amino acid difference between the sequence from the Sequencing Center and the sequence in GenBank record HB881507."
DDB_G0269244,"There is 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AY191013, resulting in 1 amino acid substitution at position 1359. The Curated Model is based on the GenBank record, which predicts an earlier 5' splice site for the second intron (18 nt upstream)."
DDB_G0269246,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record AF465757, however, the sequence from the Sequencing Center has been verified."
DDB_G0269250,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record AY170918, however, the sequence from the Sequencing Center has been verified."
DDB_G0269252,"The sequences from the Sequencing Center and GenBank record AY160094 are identical."
DDB_G0269254,"The sequences from the Sequencing Center and GenBank record AY392441 are identical."
DDB_G0269408,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 28-DEC-2010 RD"
DDB_G0269422,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 11-JAN-2011 PF"
DDB_G0269434,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 15-APR-2011 RD"
DDB_G0269498,"Note, the first intron of this gene model is uncharacteristically short at 59 nt; please use this gene model with caution! 26-JUL-2011 RD"
DDB_G0269516,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 26-JAN-2011 RD"
